thumbnail_key,roblox_asset_id,filename,description,prompt,source_thumbnail_id,generated_at,activated_at,deactivated_at,status
thumb-011,71984348147519,thumb-011.jpg,"A cute, fluffy light-green 3D caterpillar with large glossy eyes and rosy cheeks sits centered in a lush flower field. Captured at a low eye-level angle, the soft creature and surrounding pink and purple blossoms are sprinkled with sparkling dew drops. Golden sunlight streams from behind, creating a warm, magical bokeh atmosphere in the background.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-001,2026-09-09T03:23:39Z,2026-09-09T04:12:30Z,2026-09-09T04:29:16Z,inactive
thumb-012,136926137281159,thumb-012.jpg,"A 3D animated macro shot features a cute, fluffy light-green caterpillar creature sitting in a meadow of colorful wildflowers. The smiling creature has large glossy green eyes, rosy cheeks, and curly antennae. Warm golden sunlight illuminates the scene, creating a soft, blurry bokeh background of vibrant blossoms.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-001,2026-09-09T04:29:36Z,2026-09-09T04:29:16Z,2026-09-11T11:16:22Z,inactive
thumb-013,108885118768033,thumb-013.jpg,"A 3D render features a cute, fluffy green caterpillar with large glossy eyes and brown antennae sitting in a wildflower meadow. Shot at eye level, the creature smiles among colorful blossoms under warm, golden sunlight. Soft bokeh and lush leaves frame the bright, whimsical scene.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-012,2026-09-09T13:10:10Z,2026-09-09T13:09:36Z,2026-09-10T04:37:27Z,inactive
thumb-014,108019538520296,thumb-014.jpg,"A 3D Pixar-style adorable, fluffy light-green caterpillar with big glossy green eyes, rosy cheeks, and curled antennae sits cheerfully in a lush meadow. Shot from a close-up, eye-level perspective, the scene features warm golden-hour lighting and a soft shallow depth of field filled with colorful, blurred wildflowers.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-001,2026-09-09T13:21:06Z,2026-09-09T13:20:43Z,2026-09-11T01:17:01Z,inactive
thumb-015,122283097624568,thumb-015.jpg,"A 3D digital render features an adorable, fluffy green caterpillar with giant glossy eyes, blushing pink cheeks, and curly antennae centered at eye level. It rests in a sun-drenched field surrounded by colorful pastel blue, yellow, and pink wildflowers. The scene boasts soft, golden sunlight streaming from above with a dreamy, blurred bokeh background.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-012,2026-09-09T13:21:29Z,2026-09-09T13:20:43Z,2026-09-11T01:17:01Z,inactive
thumb-016,134934402058232,thumb-016.jpg,"A cute, fluffy light-green caterpillar with large green eyes and rosy cheeks stands centered in a close-up, eye-level shot. It rests among vibrant, stylized pastel flowers in shades of blue, yellow, and purple within a soft, sun-dappled forest. The 3D digital art style features warm, glowing sunlight, rich colors, and soft, fuzzy textures.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-014,2026-09-10T04:38:00Z,2026-09-10T04:37:27Z,2026-09-11T01:17:01Z,inactive
thumb-017,127900756325609,thumb-017.jpg,"A cute, fluffy light-green caterpillar character with huge, glossy green eyes and rosy cheeks sits happily in a sunlit meadow. Rendered in a soft 3D animation style, the eye-level close-up highlights its plush texture against a vibrant field of colorful wildflowers. Warm golden sunlight creates a soft bokeh background of pastel flowers.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-001,2026-09-11T01:17:25Z,2026-09-11T01:17:01Z,2026-09-11T11:16:22Z,inactive
thumb-018,104919684926817,thumb-018.jpg,"A cute, fluffy pastel-green caterpillar with large, glossy green eyes and rosy cheeks stands in a sunlit meadow. Rendered in a soft 3D animated macro style, the centered, eye-level shot captures the smiling creature under warm golden sunlight. Brightly colored wildflowers blur into a soft bokeh background with a shallow depth of field.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-001,2026-09-11T01:17:42Z,2026-09-11T01:17:01Z,,active
thumb-019,137040800190096,thumb-019.jpg,"An eye-level 3D digital render features a cute, fluffy light-green caterpillar with big glossy eyes sitting in the center of a vibrant flower field. The scene is filled with colorful pastel flowers in shades of purple, yellow, and blue, bathed in warm sunlight with glowing golden sparkles floating in the air.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-001,2026-09-11T01:18:00Z,2026-09-11T01:17:01Z,2026-09-11T11:16:22Z,inactive
thumb-020,70867404239333,thumb-020.jpg,"A cute, fuzzy green 3D-animated caterpillar with large glossy eyes and rosy cheeks smiles at eye level amidst a lush meadow. The macro shot highlights vibrant, colorful wildflowers surround the creature under warm, golden sunlight creating soft bokeh background effects.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-001,2026-09-11T11:16:41Z,2026-09-11T11:16:22Z,2026-09-11T23:17:41Z,inactive
thumb-021,86122940933659,thumb-021.jpg,"A cute, fluffy green caterpillar with large shiny green eyes and rosy cheeks stands smiling in a sunlit meadow. Rendered in a soft 3D digital animation style, the eye-level medium shot captures the creature surrounded by vibrant blue, purple, and yellow wildflowers under warm golden sunlight.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-001,2026-09-11T11:16:59Z,2026-09-11T11:16:22Z,2026-09-11T23:17:41Z,inactive
thumb-022,77523102787102,thumb-022.jpg,"A cute, fluffy light-green caterpillar with large, glossy green eyes and rosy cheeks smiles in a sunlit flower field. Rendered in a soft 3D animated style, this close-up, eye-level scene features vibrant blue, pink, and yellow flowers surrounded by warm sunlight and floating golden light particles.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.",thumb-001,2026-09-11T11:17:17Z,2026-09-11T11:16:22Z,2026-09-11T23:17:41Z,inactive
thumb-023,112089071346674,thumb-023.jpg,"A cute, fluffy light-green caterpillar creature with large sparkling eyes smiles in a magical floral field at night. Rendered in a 3D cartoon digital art style from a low eye-level angle, the composition features glowing blue flowers, bioluminescent mushrooms, floating fireflies, and misty stone ruins. The scene uses an atmospheric color palette dominated by deep blues, cyans, and soft neon greens.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.

Use cool tones for a mysterious, adventurous feel.
Use the rule of thirds with the subject off-center.
Use backlighting to create silhouettes and depth.",thumb-018,2026-09-11T23:17:58Z,2026-09-11T23:17:41Z,2026-09-12T09:24:28Z,inactive
thumb-024,94643786059035,thumb-024.jpg,"A cute, fluffy light-green caterpillar with large glossy eyes and curly antennae crawls through a colorful flower garden. Rendered in a smooth 3D animation style, the low-angle close-up features vibrant purple, blue, and orange flowers bathed in warm, golden sunlight.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.

Use bold, contrasting colors for maximum visual impact.
Use dynamic diagonal composition for movement and energy.
Add dramatic shadows for depth and interest.",thumb-018,2026-09-11T23:18:14Z,2026-09-11T23:17:41Z,2026-09-12T09:24:28Z,inactive
thumb-025,96017676047062,thumb-025.jpg,"A cute, fluffy light-green caterpillar with curly antennae sits among leaves in a smooth 3D digital animation style. Shot at eye level, the whimsical scene features pastel blue and purple flowers with glowing cyan mushrooms under a cloudy twilight sky.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.

Use cool tones for a mysterious, adventurous feel.
Use the rule of thirds with the subject off-center.
Use soft, diffused lighting for a calm feel.",thumb-018,2026-09-11T23:18:32Z,2026-09-11T23:17:41Z,2026-09-12T09:24:28Z,inactive
thumb-026,77508953839501,thumb-026.jpg,"A low-angle, 3D animated scene features a fluffy mint-green caterpillar with big green eyes standing alongside a small yellow chick and a cute brown owl in a grassy meadow. The characters are surrounded by colorful wildflowers under warm, golden-hour sunlight with a soft, blurred background.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy pastel-green caterpillar with large, glossy green eyes and rosy cheeks stands in a sunlit meadow. Rendered in a soft 3D animated macro style, the centered, eye-level shot captures the smiling creature under warm golden sunlight. Brightly colored wildflowers blur into a soft bokeh background with a shallow depth of field.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.

A very cute yellow chick and baby owl look friendly.
Use warm tones to create an inviting atmosphere.
Use dynamic diagonal composition for movement and energy.
Add dramatic shadows for depth and interest.",thumb-018,2026-09-12T09:24:51Z,2026-09-12T09:24:28Z,,active
thumb-027,117356052154426,thumb-027.jpg,"A ground-level 3D animated render features an adorable, fluffy pastel-green caterpillar with large glossy green eyes and rosy cheeks sitting on a mossy mound. It is surrounded by vibrant pink, yellow, and blue wildflowers in a lush, sunlit grassy field under a soft rainbow and bokeh backdrop.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy pastel-green caterpillar with large, glossy green eyes and rosy cheeks stands in a sunlit meadow. Rendered in a soft 3D animated macro style, the centered, eye-level shot captures the smiling creature under warm golden sunlight. Brightly colored wildflowers blur into a soft bokeh background with a shallow depth of field.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.

A beautiful rainbow is visible in the distance.
Use vibrant, saturated colors to make it pop.
Create depth with foreground, subject, and background layers.
Use soft, diffused lighting for a calm feel.",thumb-018,2026-09-12T09:25:12Z,2026-09-12T09:24:28Z,,active
thumb-028,118929546542224,thumb-028.jpg,"A cute, fluffy 3D light-green caterpillar with large shiny eyes stands in a sunny meadow surrounded by vibrant colorful flowers. Captured at eye level, a bright rainbow arcs across the soft-focus sky in the background under warm golden sunlight.","Create an incredibly cute, high quality Roblox game thumbnail.
A cute, fluffy pastel-green caterpillar with large, glossy green eyes and rosy cheeks stands in a sunlit meadow. Rendered in a soft 3D animated macro style, the centered, eye-level shot captures the smiling creature under warm golden sunlight. Brightly colored wildflowers blur into a soft bokeh background with a shallow depth of field.
Make it attractive at Roblox thumbnail size.
16:9 composition. No text unless specifically requested.

A beautiful rainbow is visible in the distance.
Use bold, contrasting colors for maximum visual impact.
Frame the subject with environmental elements around it.
Add dramatic shadows for depth and interest.",thumb-018,2026-09-12T09:25:31Z,2026-09-12T09:24:28Z,,active
